,country,year,sex,age,SuicidesNo,population,HDIForYear,GDPForYearMoney,suicidesper100k,Generation,TotalPopulationYear,GDPperCapita
0,Albania,1987,male,15-24 years,21,312900,0.0,2156624900,6.71,Generation X,2709600,795.9200250959551
1,Albania,1987,male,35-54 years,16,308000,0.0,2156624900,5.19,Boomers,2709600,795.9200250959551
2,Albania,1987,female,15-24 years,14,289700,0.0,2156624900,4.83,Generation X,2709600,795.9200250959551
3,Albania,1987,male,75+ years,1,21800,0.0,2156624900,4.59,GI Generation,2709600,795.9200250959551
4,Albania,1987,male,25-34 years,9,274300,0.0,2156624900,3.28,Boomers,2709600,795.9200250959551
5,Albania,1987,female,75+ years,1,35600,0.0,2156624900,2.81,GI Generation,2709600,795.9200250959551
6,Albania,1987,female,35-54 years,6,278800,0.0,2156624900,2.15,Boomers,2709600,795.9200250959551
7,Albania,1987,female,25-34 years,4,257200,0.0,2156624900,1.56,Boomers,2709600,795.9200250959551
8,Albania,1987,male,55-74 years,1,137500,0.0,2156624900,0.73,Silent,2709600,795.9200250959551
9,Albania,1987,female,5-14 years,0,311000,0.0,2156624900,0.0,Millenials,2709600,795.9200250959551
10,Albania,1987,female,55-74 years,0,144600,0.0,2156624900,0.0,Silent,2709600,795.9200250959551
11,Albania,1987,male,5-14 years,0,338200,0.0,2156624900,0.0,Millenials,2709600,795.9200250959551
12,Albania,1988,female,75+ years,2,36400,0.0,2126000000,5.49,GI Generation,2764300,769.0916326013819
13,Albania,1988,male,15-24 years,17,319200,0.0,2126000000,5.33,Generation X,2764300,769.0916326013819
14,Albania,1988,male,75+ years,1,22300,0.0,2126000000,4.48,GI Generation,2764300,769.0916326013819
15,Albania,1988,male,35-54 years,14,314100,0.0,2126000000,4.46,Boomers,2764300,769.0916326013819
16,Albania,1988,male,55-74 years,4,140200,0.0,2126000000,2.85,Silent,2764300,769.0916326013819
17,Albania,1988,female,15-24 years,8,295600,0.0,2126000000,2.71,Generation X,2764300,769.0916326013819
18,Albania,1988,female,55-74 years,3,147500,0.0,2126000000,2.03,Silent,2764300,769.0916326013819
19,Albania,1988,female,25-34 years,5,262400,0.0,2126000000,1.91,Boomers,2764300,769.0916326013819
20,Albania,1988,male,25-34 years,5,279900,0.0,2126000000,1.79,Boomers,2764300,769.0916326013819
21,Albania,1988,female,35-54 years,4,284500,0.0,2126000000,1.41,Boomers,2764300,769.0916326013819
22,Albania,1988,female,5-14 years,0,317200,0.0,2126000000,0.0,Millenials,2764300,769.0916326013819
23,Albania,1988,male,5-14 years,0,345000,0.0,2126000000,0.0,Millenials,2764300,769.0916326013819
24,Albania,1989,male,75+ years,2,22500,0.0,2335124988,8.89,GI Generation,2803100,833.050903642396
25,Albania,1989,male,25-34 years,18,283600,0.0,2335124988,6.35,Boomers,2803100,833.050903642396
26,Albania,1989,male,35-54 years,15,318400,0.0,2335124988,4.71,Boomers,2803100,833.050903642396
27,Albania,1989,male,55-74 years,6,142100,0.0,2335124988,4.22,Silent,2803100,833.050903642396
28,Albania,1989,male,15-24 years,12,323500,0.0,2335124988,3.71,Generation X,2803100,833.050903642396
29,Albania,1989,female,35-54 years,7,288600,0.0,2335124988,2.43,Boomers,2803100,833.050903642396
